Evolution of the BH masses and spins as functions of time.
Total number of time iterations: 784

              t                   M              a
    1.23833e-22         1.00000e+16    0.00000e+00
    2.47665e-22         1.00000e+16    0.00000e+00
    4.95331e-22         1.00000e+16    0.00000e+00
    9.90662e-22         1.00000e+16    0.00000e+00
    1.98132e-21         1.00000e+16    0.00000e+00
    3.96265e-21         1.00000e+16    0.00000e+00
    7.92530e-21         1.00000e+16    0.00000e+00
    1.58506e-20         1.00000e+16    0.00000e+00
    3.17012e-20         1.00000e+16    0.00000e+00
    6.34024e-20         1.00000e+16    0.00000e+00
    1.26805e-19         1.00000e+16    0.00000e+00
    2.53609e-19         1.00000e+16    0.00000e+00
    5.07219e-19         1.00000e+16    0.00000e+00
    1.01444e-18         1.00000e+16    0.00000e+00
    2.02888e-18         1.00000e+16    0.00000e+00
    4.05775e-18         1.00000e+16    0.00000e+00
    8.11550e-18         1.00000e+16    0.00000e+00
    1.62310e-17         1.00000e+16    0.00000e+00
    3.24620e-17         1.00000e+16    0.00000e+00
    6.49240e-17         1.00000e+16    0.00000e+00
    1.29848e-16         1.00000e+16    0.00000e+00
    2.59696e-16         1.00000e+16    0.00000e+00
    5.19392e-16         1.00000e+16    0.00000e+00
    1.03878e-15         1.00000e+16    0.00000e+00
    2.07757e-15         1.00000e+16    0.00000e+00
    4.15514e-15         1.00000e+16    0.00000e+00
    8.31027e-15         1.00000e+16    0.00000e+00
    1.66205e-14         1.00000e+16    0.00000e+00
    3.32411e-14         1.00000e+16    0.00000e+00
    6.64822e-14         1.00000e+16    0.00000e+00
    1.32964e-13         1.00000e+16    0.00000e+00
    2.65929e-13         1.00000e+16    0.00000e+00
    5.31858e-13         1.00000e+16    0.00000e+00
    1.06372e-12         1.00000e+16    0.00000e+00
    2.12743e-12         1.00000e+16    0.00000e+00
    4.25486e-12         1.00000e+16    0.00000e+00
    8.50972e-12         1.00000e+16    0.00000e+00
    1.70194e-11         1.00000e+16    0.00000e+00
    3.40389e-11         1.00000e+16    0.00000e+00
    6.80778e-11         1.00000e+16    0.00000e+00
    1.36156e-10         1.00000e+16    0.00000e+00
    2.72311e-10         1.00000e+16    0.00000e+00
    5.44622e-10         1.00000e+16    0.00000e+00
    1.08924e-09         1.00000e+16    0.00000e+00
    2.17849e-09         1.00000e+16    0.00000e+00
    4.35698e-09         1.00000e+16    0.00000e+00
    8.71395e-09         1.00000e+16    0.00000e+00
    1.74279e-08         1.00000e+16    0.00000e+00
    3.48558e-08         1.00000e+16    0.00000e+00
    6.97116e-08         1.00000e+16    0.00000e+00
    1.39423e-07         1.00000e+16    0.00000e+00
    2.78847e-07         1.00000e+16    0.00000e+00
    5.57693e-07         1.00000e+16    0.00000e+00
    1.11539e-06         1.00000e+16    0.00000e+00
    2.23077e-06         1.00000e+16    0.00000e+00
    4.46154e-06         1.00000e+16    0.00000e+00
    8.92309e-06         1.00000e+16    0.00000e+00
    1.78462e-05         1.00000e+16    0.00000e+00
    3.56924e-05         1.00000e+16    0.00000e+00
    7.13847e-05         1.00000e+16    0.00000e+00
    1.42769e-04         1.00000e+16    0.00000e+00
    2.85539e-04         1.00000e+16    0.00000e+00
    5.71078e-04         1.00000e+16    0.00000e+00
    1.14216e-03         1.00000e+16    0.00000e+00
    2.28431e-03         1.00000e+16    0.00000e+00
    4.56862e-03         1.00000e+16    0.00000e+00
    9.13724e-03         1.00000e+16    0.00000e+00
    1.82745e-02         1.00000e+16    0.00000e+00
    3.65490e-02         1.00000e+16    0.00000e+00
    7.30979e-02         1.00000e+16    0.00000e+00
    1.46196e-01         1.00000e+16    0.00000e+00
    2.92392e-01         1.00000e+16    0.00000e+00
    5.84784e-01         1.00000e+16    0.00000e+00
    1.16957e+00         1.00000e+16    0.00000e+00
    2.33913e+00         1.00000e+16    0.00000e+00
    4.67827e+00         1.00000e+16    0.00000e+00
    9.35654e+00         1.00000e+16    0.00000e+00
    1.87131e+01         1.00000e+16    0.00000e+00
    3.74261e+01         1.00000e+16    0.00000e+00
    7.48523e+01         1.00000e+16    0.00000e+00
    1.49705e+02         1.00000e+16    0.00000e+00
    2.99409e+02         1.00000e+16    0.00000e+00
    5.98818e+02         1.00000e+16    0.00000e+00
    1.19764e+03         1.00000e+16    0.00000e+00
